Dates,DJIA CLOSE,SP500 CLOSE
7/30/2019 21:30,27198.02,3013.18
7/31/2019 15:30,26977.78,2995.67
7/31/2019 21:30,26864.27,2980.38
8/1/2019 15:30,26635.25,2960.19
8/1/2019 21:30,26583.42,2953.56
8/2/2019 15:30,26468.28,2933.34
8/2/2019 21:30,26485.01,2932.05
8/5/2019 15:30,25645.1,2837.89
8/5/2019 21:30,25717.74,2844.74
8/6/2019 15:30,25969.12,2876.36
8/6/2019 21:30,26029.52,2881.77
8/7/2019 15:30,26026.23,2886.66
8/7/2019 21:30,26007.07,2883.98
8/8/2019 15:30,26287.76,2928.91
8/8/2019 21:30,26378.19,2938.09
8/9/2019 15:30,26372.06,2927.81
8/9/2019 21:30,26287.44,2918.65
8/12/2019 15:30,25883.4,2881.07
8/12/2019 21:30,25896.44,2882.69
8/13/2019 15:30,26297.29,2929.52
8/13/2019 21:30,26279.91,2926.32
8/14/2019 15:30,25560.25,2848.28
8/14/2019 21:30,25479.42,2840.6
8/15/2019 15:30,25542.85,2845.37
8/15/2019 21:30,25579.39,2847.6
8/16/2019 15:30,25843.96,2886.66
8/16/2019 21:30,25886.01,2888.68
8/19/2019 15:30,26165.37,2926.46
8/19/2019 21:30,26135.79,2923.65
8/20/2019 15:30,26056.93,2909.64
8/20/2019 21:30,25962.44,2900.51
8/21/2019 15:30,26192.71,2922.64
8/21/2019 21:30,26202.73,2924.43
8/22/2019 15:30,26266.72,2925.07
8/22/2019 21:30,26252.24,2922.95
8/23/2019 15:30,25665.57,2852.53
8/23/2019 21:30,25628.9,2847.11
8/26/2019 15:30,25823.83,2869.62
8/26/2019 21:30,25898.83,2878.38
8/27/2019 15:30,25798.08,2870.49
8/27/2019 21:30,25777.9,2869.16
8/28/2019 15:30,25998.91,2885.06
8/28/2019 21:30,26036.1,2887.94
8/29/2019 15:30,26340.07,2922.03
8/29/2019 21:30,26362.25,2924.58
8/30/2019 15:30,26363.74,2922.09
8/30/2019 21:30,26403.28,2926.46
9/3/2019 15:30,26102.94,2903.45
9/3/2019 21:30,26118.02,2906.27
9/4/2019 15:30,26343.85,2935.76
9/4/2019 21:30,26355.47,2937.78
9/5/2019 15:30,26772.62,2979.87
9/5/2019 21:30,26728.15,2976
9/6/2019 15:30,26829.92,2983.5
9/6/2019 21:30,26797.46,2978.71
9/9/2019 15:30,26839.36,2976.91
9/9/2019 21:30,26835.51,2978.43
9/10/2019 15:30,26798.46,2965.73
9/10/2019 21:30,26909.43,2979.39
9/11/2019 15:30,27066.36,2993.94
9/11/2019 21:30,27137.04,3000.93
9/12/2019 15:30,27241.36,3015.77
9/12/2019 21:30,27182.45,3009.57
9/13/2019 15:30,27212.64,3005.74
9/13/2019 21:30,27219.52,3007.39
9/16/2019 15:30,27074.51,2996.79
9/16/2019 21:30,27076.82,2997.96
9/17/2019 15:30,27070.39,3000.22
9/17/2019 21:30,27110.8,3005.7
9/18/2019 15:30,27050.45,2995.92
9/18/2019 21:30,27147.08,3006.73
9/19/2019 15:30,27132.32,3010.76
9/19/2019 21:30,27094.79,3006.79
9/20/2019 15:30,26991.53,2996.52
9/20/2019 21:30,26935.07,2992.07
9/23/2019 15:30,27000.77,2998.08
9/23/2019 21:30,26949.99,2991.78
9/24/2019 15:30,26770.28,2963.78
9/24/2019 21:30,26807.77,2966.6
9/25/2019 15:30,26978.52,2986.04
9/25/2019 21:30,26970.71,2984.87
9/26/2019 15:30,26958.83,2984.16
9/26/2019 21:30,26891.12,2977.62
9/27/2019 15:30,26755.14,2952.05
9/27/2019 21:30,26820.25,2961.79
